date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer,user_two_id
2019-06-14 12:32:33.678526,16,points,5,A,2,wappen,2,wall,0,False,3.209777355194092,0,False,-1
2019-06-14 12:32:43.259429,16,points,5,A,2,wappen,2,wall,1,False,3.104127883911133,0,False,-1
2019-06-14 12:32:48.245183,16,points,5,A,2,wappen,2,wall,2,True,1.735884428024292,0,True,-1
2019-06-14 12:32:54.973284,16,points,5,A,2,wappen,2,wall,3,False,1.710930347442627,0,False,-1
2019-06-14 12:33:02.807583,16,points,5,A,2,wappen,2,wall,4,True,1.2480621337890625,0,True,-1
2019-06-14 12:33:11.718471,16,points,5,A,2,wappen,2,wall,5,True,1.9328639507293701,0,False,-1
2019-06-14 12:33:17.932042,16,points,5,A,2,wappen,2,wall,6,True,1.6097686290740967,0,True,-1
2019-06-14 12:33:31.463908,16,points,5,A,2,wappen,2,wall,7,True,3.3409619331359863,0,True,-1
2019-06-14 12:33:39.735922,16,points,5,A,2,wappen,2,wall,8,False,2.846869707107544,0,False,-1
2019-06-14 12:33:44.686481,16,points,5,A,2,wappen,2,wall,9,True,1.322544813156128,0,True,-1
2019-06-14 12:33:54.573231,16,points,5,A,2,wappen,2,wall,10,False,3.7295942306518555,0,False,-1
2019-06-14 12:34:00.235581,16,points,5,A,2,wappen,2,wall,11,True,2.119478225708008,0,True,-1
2019-06-14 12:34:08.487110,16,points,5,A,2,wappen,2,wall,12,False,1.6855013370513916,0,False,-1
2019-06-14 12:34:14.996903,16,points,5,A,2,wappen,2,wall,13,True,1.5543997287750244,0,True,-1
2019-06-14 12:34:25.787863,16,points,5,A,2,wappen,2,wall,14,False,2.6655616760253906,0,False,-1
2019-06-14 12:34:32.486055,16,points,5,A,2,wappen,2,wall,15,True,1.6003963947296143,0,True,-1
2019-06-14 12:34:39.981304,16,points,5,A,2,wappen,2,wall,16,False,1.8882219791412354,0,False,-1
2019-06-14 12:34:48.308072,16,points,5,A,2,wappen,2,wall,17,True,1.7558655738830566,0,True,-1
2019-06-14 12:34:58.525637,16,points,5,A,2,wappen,2,wall,18,False,4.175154447555542,0,False,-1
2019-06-14 12:35:07.212885,16,points,5,A,2,wappen,2,wall,19,False,2.4335100650787354,0,False,-1
2019-06-14 12:35:16.935776,16,points,5,A,2,wappen,2,wall,20,True,2.962750196456909,0,True,-1
2019-06-14 12:35:24.847495,16,points,5,A,2,wappen,2,wall,21,False,1.4545927047729492,0,False,-1
2019-06-14 12:35:32.438411,16,points,5,A,2,wappen,2,wall,22,False,1.443413496017456,0,False,-1
2019-06-14 12:35:41.751496,16,points,5,A,2,wappen,2,wall,23,False,1.5900330543518066,0,False,-1
2019-06-14 12:35:54.136059,16,points,5,A,2,wappen,2,wall,24,True,2.119561195373535,0,True,-1
