date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-08 11:43:15.579866,1,points,4,B,1,head,2,lense,0,False,86.92925572395325,0,False
2019-06-08 11:43:29.451580,1,points,4,B,1,head,2,lense,1,False,1.6753110885620117,0,False
2019-06-08 11:43:34.747433,1,points,4,B,1,head,2,lense,2,True,1.1599986553192139,0,True
2019-06-08 11:43:42.428582,1,points,4,B,1,head,2,lense,3,True,1.2051165103912354,0,True
2019-06-08 11:43:51.044835,1,points,4,B,1,head,2,lense,4,False,0.9833121299743652,0,False
2019-06-08 11:43:58.076397,1,points,4,B,1,head,2,lense,5,True,1.0001826286315918,0,True
2019-06-08 11:44:04.973251,1,points,4,B,1,head,2,lense,6,False,1.9649415016174316,0,False
2019-06-08 11:44:13.262154,1,points,4,B,1,head,2,lense,7,True,1.5881359577178955,0,True
2019-06-08 11:44:20.319137,1,points,4,B,1,head,2,lense,8,True,3.1604859828948975,0,True
2019-06-08 11:44:29.500652,1,points,4,B,1,head,2,lense,9,False,1.8707585334777832,0,False
2019-06-08 11:44:36.853786,1,points,4,B,1,head,2,lense,10,True,1.5300264358520508,0,True
2019-06-08 11:44:48.203863,1,points,4,B,1,head,2,lense,11,True,5.114392280578613,0,True
2019-06-08 11:44:58.858855,1,points,4,B,1,head,2,lense,12,True,1.4774136543273926,0,True
2019-06-08 11:45:11.242991,1,points,4,B,1,head,2,lense,13,True,4.121800422668457,0,False
2019-06-08 11:45:20.365742,1,points,4,B,1,head,2,lense,14,False,4.7842535972595215,0,False
2019-06-08 11:45:27.106674,1,points,4,B,1,head,2,lense,15,False,2.3562769889831543,0,False
2019-06-08 11:45:33.462486,1,points,4,B,1,head,2,lense,16,False,1.7677438259124756,0,False
2019-06-08 11:45:41.226604,1,points,4,B,1,head,2,lense,17,True,1.4476540088653564,0,True
2019-06-08 11:45:46.355263,1,points,4,B,1,head,2,lense,18,False,1.402717113494873,0,False
2019-06-08 11:46:10.540636,1,points,4,B,1,head,2,lense,19,False,3.9795584678649902,0,True
2019-06-08 11:46:17.482891,1,points,4,B,1,head,2,lense,20,True,1.3479349613189697,0,True
2019-06-08 11:46:23.868948,1,points,4,B,1,head,2,lense,21,False,1.2609913349151611,0,False
2019-06-08 11:46:32.044723,1,points,4,B,1,head,2,lense,22,True,2.43127703666687,0,True
2019-06-08 11:46:36.834424,1,points,4,B,1,head,2,lense,23,False,1.6951062679290771,0,False
2019-06-08 11:46:45.485513,1,points,4,B,1,head,2,lense,24,True,1.119508981704712,0,True
