date,user_id,task,part,group,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-07 15:02:57.604979,0,points,2,A,head,1,lense,0,True,7.326674461364746,0,True
2019-06-07 15:03:20.070325,0,points,2,A,head,1,lense,1,False,3.6213133335113525,0,False
2019-06-07 15:03:31.316730,0,points,2,A,head,1,lense,2,False,2.4851133823394775,0,False
2019-06-07 15:03:39.525309,0,points,2,A,head,1,lense,3,False,2.440126895904541,0,False
2019-06-07 15:03:48.870548,0,points,2,A,head,1,lense,4,True,4.23274564743042,0,True
2019-06-07 15:03:57.950948,0,points,2,A,head,1,lense,5,True,4.190816164016724,0,True
2019-06-07 15:04:12.160346,0,points,2,A,head,1,lense,6,True,7.062256574630737,0,True
2019-06-07 15:04:28.812563,0,points,2,A,head,1,lense,7,False,7.325190305709839,0,False
2019-06-07 15:04:43.924063,0,points,2,A,head,1,lense,8,True,5.240315198898315,0,True
2019-06-07 15:04:57.687185,0,points,2,A,head,1,lense,9,False,6.713305950164795,0,False
2019-06-07 15:05:08.619956,0,points,2,A,head,1,lense,10,True,5.023234128952026,0,True
2019-06-07 15:05:19.883819,0,points,2,A,head,1,lense,11,False,4.784528017044067,0,False
2019-06-07 15:05:31.200435,0,points,2,A,head,1,lense,12,True,5.452265024185181,0,True
2019-06-07 15:05:45.396290,0,points,2,A,head,1,lense,13,False,5.335073471069336,0,False
2019-06-07 15:05:52.918383,0,points,2,A,head,1,lense,14,True,2.122607707977295,0,True
2019-06-07 15:06:00.022261,0,points,2,A,head,1,lense,15,True,1.6331148147583008,0,True
2019-06-07 15:06:05.733645,0,points,2,A,head,1,lense,16,True,1.7046282291412354,0,True
2019-06-07 15:06:13.221307,0,points,2,A,head,1,lense,17,False,2.4455323219299316,0,False
2019-06-07 15:06:21.623994,0,points,2,A,head,1,lense,18,False,2.6242918968200684,0,False
2019-06-07 15:06:38.918640,0,points,2,A,head,1,lense,19,False,7.323340177536011,0,False
2019-06-07 15:06:48.035488,0,points,2,A,head,1,lense,20,True,1.7943742275238037,0,True
2019-06-07 15:06:54.180936,0,points,2,A,head,1,lense,21,False,1.2247178554534912,0,False
2019-06-07 15:07:04.331629,0,points,2,A,head,1,lense,22,False,5.174525260925293,0,False
2019-06-07 15:07:12.652264,0,points,2,A,head,1,lense,23,False,2.460897922515869,0,False
2019-06-07 15:07:27.541064,0,points,2,A,head,1,lense,24,True,6.238058090209961,0,True
