date,user_id,task,part,group,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-07 15:32:14.586700,0,points,6,A,wappen,2,wall,0,False,3.6031289100646973,0,False
2019-06-07 15:32:27.178265,0,points,6,A,wappen,2,wall,1,False,5.157629489898682,0,False
2019-06-07 15:32:40.214471,0,points,6,A,wappen,2,wall,2,True,5.738065719604492,0,True
2019-06-07 15:32:56.530382,0,points,6,A,wappen,2,wall,3,False,10.239903926849365,0,False
2019-06-07 15:33:07.906225,0,points,6,A,wappen,2,wall,4,True,2.5992112159729004,0,True
2019-06-07 15:33:19.519362,0,points,6,A,wappen,2,wall,5,True,4.718972682952881,0,True
2019-06-07 15:33:27.427658,0,points,6,A,wappen,2,wall,6,True,2.175259590148926,0,True
2019-06-07 15:33:41.246698,0,points,6,A,wappen,2,wall,7,True,8.579834222793579,0,True
2019-06-07 15:33:56.603968,0,points,6,A,wappen,2,wall,8,False,5.632269620895386,0,False
2019-06-07 15:34:05.718257,0,points,6,A,wappen,2,wall,9,True,2.2154269218444824,0,True
2019-06-07 15:34:26.451370,0,points,6,A,wappen,2,wall,10,False,6.384291172027588,0,False
2019-06-07 15:34:41.763575,0,points,6,A,wappen,2,wall,11,True,1.8318204879760742,0,True
2019-06-07 15:34:54.517023,0,points,6,A,wappen,2,wall,12,False,4.779366493225098,0,False
2019-06-07 15:35:07.341596,0,points,6,A,wappen,2,wall,13,True,4.814821004867554,0,True
2019-06-07 15:35:24.258996,0,points,6,A,wappen,2,wall,14,False,4.365581512451172,0,False
2019-06-07 15:35:31.900532,0,points,6,A,wappen,2,wall,15,True,1.1455988883972168,0,True
2019-06-07 15:35:44.069762,0,points,6,A,wappen,2,wall,16,False,6.8242127895355225,0,False
2019-06-07 15:36:02.258636,0,points,6,A,wappen,2,wall,17,True,6.364469528198242,0,True
2019-06-07 15:36:14.054041,0,points,6,A,wappen,2,wall,18,False,6.460422039031982,0,False
2019-06-07 15:36:24.133367,0,points,6,A,wappen,2,wall,19,False,4.4465858936309814,0,False
2019-06-07 15:36:32.602107,0,points,6,A,wappen,2,wall,20,True,1.6705880165100098,0,True
2019-06-07 15:36:45.598324,0,points,6,A,wappen,2,wall,21,False,5.274059772491455,0,False
2019-06-07 15:36:59.725213,0,points,6,A,wappen,2,wall,22,False,7.015422105789185,0,False
2019-06-07 15:37:10.157431,0,points,6,A,wappen,2,wall,23,False,3.779857873916626,0,False
2019-06-07 15:37:24.156929,0,points,6,A,wappen,2,wall,24,True,2.1902832984924316,0,True
