date,user_id,task,part,group,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-04 16:22:00.763843,0,points,1,A,terra,1,lense,0,True,2.3641088008880615,0,True
2019-06-04 16:22:21.304927,0,points,1,A,terra,1,lense,1,False,2.248178243637085,0,False
2019-06-04 16:22:35.056303,0,points,1,A,terra,1,lense,2,False,2.545452833175659,0,False
2019-06-04 16:22:44.072436,0,points,1,A,terra,1,lense,3,True,1.9718060493469238,0,True
2019-06-04 16:22:53.375587,0,points,1,A,terra,1,lense,4,True,2.99560809135437,0,True
2019-06-04 16:23:00.711652,0,points,1,A,terra,1,lense,5,True,1.9611968994140625,0,True
2019-06-04 16:23:07.745120,0,points,1,A,terra,1,lense,6,True,1.0683815479278564,0,True
2019-06-04 16:23:14.585787,0,points,1,A,terra,1,lense,7,False,2.198998212814331,0,True
2019-06-04 16:23:28.239917,0,points,1,A,terra,1,lense,8,True,1.9320359230041504,0,True
2019-06-04 16:23:43.399479,0,points,1,A,terra,1,lense,9,True,1.795661211013794,0,True
2019-06-04 16:23:51.527882,0,points,1,A,terra,1,lense,10,False,1.809844732284546,0,False
2019-06-04 16:23:58.359557,0,points,1,A,terra,1,lense,11,False,2.0675160884857178,0,False
2019-06-04 16:24:04.359909,0,points,1,A,terra,1,lense,12,False,1.5742828845977783,0,False
2019-06-04 16:24:09.059255,0,points,1,A,terra,1,lense,13,False,1.3273718357086182,0,False
2019-06-04 16:24:17.615975,0,points,1,A,terra,1,lense,14,True,2.021611452102661,0,True
2019-06-04 16:24:25.236171,0,points,1,A,terra,1,lense,15,False,3.637038230895996,0,False
2019-06-04 16:24:34.896876,0,points,1,A,terra,1,lense,16,False,4.557264566421509,0,False
2019-06-04 16:24:42.809442,0,points,1,A,terra,1,lense,17,False,1.5023486614227295,0,False
2019-06-04 16:24:52.451215,0,points,1,A,terra,1,lense,18,False,2.1682512760162354,0,False
2019-06-04 16:24:59.097732,0,points,1,A,terra,1,lense,19,True,1.7998502254486084,0,True
2019-06-04 16:25:08.073544,0,points,1,A,terra,1,lense,20,True,1.6937720775604248,0,True
2019-06-04 16:25:16.220455,0,points,1,A,terra,1,lense,21,False,3.6402511596679688,0,False
2019-06-04 16:25:23.585885,0,points,1,A,terra,1,lense,22,True,1.6081771850585938,0,True
2019-06-04 16:25:29.831682,0,points,1,A,terra,1,lense,23,True,2.223383903503418,0,True
