date,user_id,task,part,group,block,geometry,version,condition,trail,feature_value,time,frozen,answer
2019-06-08 11:23:24.837755,1,points,1,B,1,head,1,wall,0,True,8.007202863693237,0,True
2019-06-08 11:23:41.053096,1,points,1,B,1,head,1,wall,1,False,5.502913475036621,0,False
2019-06-08 11:24:00.549386,1,points,1,B,1,head,1,wall,2,False,10.047042846679688,0,False
2019-06-08 11:24:16.068599,1,points,1,B,1,head,1,wall,3,False,2.422551155090332,0,False
2019-06-08 11:24:25.085908,1,points,1,B,1,head,1,wall,4,True,4.200472354888916,0,True
2019-06-08 11:24:34.899065,1,points,1,B,1,head,1,wall,5,True,3.488172769546509,0,True
2019-06-08 11:24:46.461822,1,points,1,B,1,head,1,wall,6,True,4.870565176010132,0,True
2019-06-08 11:24:59.282742,1,points,1,B,1,head,1,wall,7,False,2.296552896499634,0,False
2019-06-08 11:25:08.620470,1,points,1,B,1,head,1,wall,8,True,2.5236096382141113,0,True
2019-06-08 11:25:20.372280,1,points,1,B,1,head,1,wall,9,False,5.154063701629639,0,False
2019-06-08 11:25:35.389723,1,points,1,B,1,head,1,wall,10,True,7.844277620315552,0,True
2019-06-08 11:25:45.179038,1,points,1,B,1,head,1,wall,11,False,2.602853298187256,0,False
2019-06-08 11:25:53.461916,1,points,1,B,1,head,1,wall,12,True,4.027959823608398,0,True
2019-06-08 11:26:04.690706,1,points,1,B,1,head,1,wall,13,False,2.1005637645721436,0,False
2019-06-08 11:26:11.491888,1,points,1,B,1,head,1,wall,14,True,2.9993343353271484,0,True
2019-06-08 11:26:19.237556,1,points,1,B,1,head,1,wall,15,True,2.837387800216675,0,True
2019-06-08 11:26:25.769950,1,points,1,B,1,head,1,wall,16,True,2.029566526412964,0,True
2019-06-08 11:26:38.284760,1,points,1,B,1,head,1,wall,17,False,4.973022222518921,0,False
2019-06-08 11:26:44.446844,1,points,1,B,1,head,1,wall,18,False,1.8777477741241455,0,False
2019-06-08 11:26:56.597348,1,points,1,B,1,head,1,wall,19,False,5.209923982620239,0,False
2019-06-08 11:27:14.507410,1,points,1,B,1,head,1,wall,20,True,1.6402239799499512,0,True
2019-06-08 11:27:24.350376,1,points,1,B,1,head,1,wall,21,False,3.6955487728118896,0,False
2019-06-08 11:27:39.925064,1,points,1,B,1,head,1,wall,22,False,3.2715015411376953,0,False
2019-06-08 11:27:45.629061,1,points,1,B,1,head,1,wall,23,False,2.2313854694366455,0,False
2019-06-08 11:27:59.300826,1,points,1,B,1,head,1,wall,24,True,3.493983268737793,0,True
